nct_id,phase,condition,intervention_type,sponsor_type,enrollment,status,outcome_label
NCT00000102,PHASE1/PHASE2,Congenital Adrenal Hyperplasia,DRUG,NIH,,COMPLETED,
NCT00000104,,Lead Poisoning,PROCEDURE,FED,,COMPLETED,
NCT00000105,,Cancer,BIOLOGICAL,OTHER,112.0,TERMINATED,
NCT00000106,NA,Rheumatic Diseases,DEVICE,NIH,,UNKNOWN,
NCT00000107,,"Heart Defects, Congenital",,NIH,,COMPLETED,
NCT00000108,NA,Cardiovascular Diseases,BEHAVIORAL,NIH,,COMPLETED,
NCT00000110,NA,Obesity,PROCEDURE,NIH,,COMPLETED,
NCT00000111,PHASE1,Mouth Diseases,PROCEDURE,NIH,,UNKNOWN,
NCT00000112,,Obesity,,NIH,,UNKNOWN,
NCT00000113,PHASE3,Myopia,OTHER,NIH,469.0,COMPLETED,
NCT00000114,PHASE3,Retinitis Pigmentosa,DRUG,NIH,,COMPLETED,
NCT00000115,PHASE2,"Macular Edema, Cystoid",DRUG,NIH,,COMPLETED,
NCT00000116,PHASE3,Retinitis Pigmentosa,DIETARY_SUPPLEMENT,NIH,221.0,COMPLETED,
NCT00000117,PHASE3,Optic Neuritis,DRUG,NIH,,COMPLETED,
NCT00000118,PHASE3,HIV Infections,DEVICE,NIH,,COMPLETED,
NCT00000119,PHASE2,Cataract,DEVICE,NIH,,UNKNOWN,
NCT00000120,PHASE3,Chlamydia Infections,DRUG,NIH,,COMPLETED,
NCT00000121,PHASE3,Esotropia,DEVICE,NIH,,COMPLETED,
NCT00000122,PHASE3,Glaucoma,DRUG,NIH,,COMPLETED,
NCT00000123,PHASE3,Astigmatism,DEVICE,NIH,,COMPLETED,
NCT00000124,PHASE3,Choroid Neoplasms,PROCEDURE,NIH,,UNKNOWN,
NCT00000125,PHASE3,Ocular Hypertension,DRUG,NIH,1636.0,COMPLETED,Incidence of Primary Open-Angle Glaucoma in Hypotensive Patients
NCT00000126,,Ischemic Optic Neuropathy,PROCEDURE,NIH,,UNKNOWN,
NCT00000127,PHASE3,Ischemic Optic Neuropathy,PROCEDURE,NIH,,COMPLETED,
NCT00000128,PHASE3,Myopia,DEVICE,NIH,,UNKNOWN,
NCT00000129,PHASE3,Myopia,PROCEDURE,NIH,,COMPLETED,
NCT00000130,PHASE3,Endophthalmitis,DRUG,NIH,,COMPLETED,
NCT00000131,PHASE3,Retinal Vein Occlusion,PROCEDURE,NIH,,COMPLETED,
NCT00000132,PHASE3,Open-Angle Glaucoma,DRUG,NIH,,UNKNOWN,
NCT00000133,NA,Retinopathy of Prematurity,PROCEDURE,NIH,,COMPLETED,
NCT00000134,PHASE3,HIV Infections,DRUG,NIH,279.0,COMPLETED,Morbidity
NCT00000135,PHASE2/PHASE3,HIV Infections,DRUG,OTHER,209.0,COMPLETED,Mortality Rate
NCT00000136,PHASE3,HIV Infections,DRUG,NIH,234.0,COMPLETED,Mortality
NCT00000137,PHASE3,Corneal Transplantation,PROCEDURE,NIH,,COMPLETED,
NCT00000138,PHASE3,"Keratitis, Herpetic",DRUG,NIH,,UNKNOWN,
NCT00000139,PHASE3,"Keratitis, Herpetic",BEHAVIORAL,NIH,,COMPLETED,
NCT00000140,PHASE3,Proliferative Vitreoretinopathy,DRUG,NIH,,COMPLETED,
NCT00000142,PHASE2/PHASE3,HIV Infections,DRUG,OTHER,64.0,COMPLETED,Survival
NCT00000143,PHASE3,Cytomegalovirus Retinitis,DEVICE,OTHER,61.0,COMPLETED,Survival
NCT00000144,PHASE3,Open-Angle Glaucoma,PROCEDURE,NIH,,COMPLETED,
NCT00000145,PHASE3,Macular Degeneration,DIETARY_SUPPLEMENT,INDUSTRY,4757.0,COMPLETED,
NCT00000146,PHASE3,Multiple Sclerosis,DRUG,NIH,,UNKNOWN,
NCT00000147,NA,Multiple Sclerosis,DRUG,NIH,,UNKNOWN,
NCT00000148,PHASE3,Glaucoma,PROCEDURE,NIH,,UNKNOWN,
NCT00000149,PHASE3,Open-Angle Glaucoma,DRUG,NIH,,UNKNOWN,
NCT00000150,PHASE3,Macular Degeneration,PROCEDURE,NIH,,COMPLETED,
