id,nct_id,allocation,intervention_model,observational_model,primary_purpose,time_perspective,masking,masking_description,intervention_model_description,subject_masked,caregiver_masked,investigator_masked,outcomes_assessor_masked
93307064,NCT06030869,,,COHORT,,PROSPECTIVE,,,,,,,
93307065,NCT02534727,,,COHORT,,PROSPECTIVE,,,,,,,
93523475,NCT03634033,RANDOMIZED,PARALLEL,,HEALTH_SERVICES_RESEARCH,,SINGLE,,Main Study: Randomized 2-Arms. Administrative Supplement: Cohort (Pilot) Study.,False,False,False,True
93307066,NCT01163539,,,ECOLOGIC_OR_COMMUNITY,,PROSPECTIVE,,,,,,,
93307067,NCT01642043,,,COHORT,,PROSPECTIVE,,,,,,,
93307068,NCT02549417,NA,SINGLE_GROUP,,TREATMENT,,NONE,,,,,,
93307069,NCT02779348,RANDOMIZED,CROSSOVER,,TREATMENT,,NONE,,,,,,
93307070,NCT03225898,RANDOMIZED,CROSSOVER,,HEALTH_SERVICES_RESEARCH,,NONE,,,,,,
93307071,NCT06326879,,,COHORT,,PROSPECTIVE,,,,,,,
93307072,NCT06080360,,,CASE_ONLY,,CROSS_SECTIONAL,,,,,,,
93307073,NCT05571826,,,COHORT,,CROSS_SECTIONAL,,,,,,,
93307074,NCT01026298,RANDOMIZED,CROSSOVER,,PREVENTION,,NONE,,,,,,
93307075,NCT03264690,,,COHORT,,PROSPECTIVE,,,,,,,
93307076,NCT03575949,NA,SINGLE_GROUP,,DIAGNOSTIC,,NONE,,,,,,
93307077,NCT00263497,NON_RANDOMIZED,CROSSOVER,,TREATMENT,,NONE,,,,,,
93307078,NCT00000469,RANDOMIZED,,,PREVENTION,,DOUBLE,,,,,,
93307079,NCT02077205,NA,SINGLE_GROUP,,TREATMENT,,NONE,,,,,,
93307080,NCT04718311,RANDOMIZED,PARALLEL,,TREATMENT,,SINGLE,,,True,False,False,False
93307081,NCT04698746,RANDOMIZED,PARALLEL,,TREATMENT,,TRIPLE,,,True,False,True,True
93307082,NCT00043069,RANDOMIZED,PARALLEL,,SUPPORTIVE_CARE,,DOUBLE,,,True,False,True,False
93307083,NCT02059356,,,COHORT,,PROSPECTIVE,,,,,,,
93307084,NCT02772328,RANDOMIZED,PARALLEL,,SCREENING,,DOUBLE,,,False,False,True,True
93307085,NCT04303507,RANDOMIZED,PARALLEL,,PREVENTION,,DOUBLE,,,True,False,True,False
93307086,NCT03898700,NA,SINGLE_GROUP,,OTHER,,NONE,,Pre-post coaching intervention,,,,
93307087,NCT01788475,RANDOMIZED,PARALLEL,,TREATMENT,,QUADRUPLE,,,True,True,True,True
93307088,NCT02555553,RANDOMIZED,PARALLEL,,TREATMENT,,NONE,,,,,,
93307089,NCT02295176,RANDOMIZED,PARALLEL,,TREATMENT,,DOUBLE,,,True,False,True,False
93307090,NCT03718377,RANDOMIZED,PARALLEL,,TREATMENT,,SINGLE,,,False,False,False,True
93307091,NCT02472002,NA,SINGLE_GROUP,,TREATMENT,,NONE,,,,,,
93307092,NCT01071603,,,,,PROSPECTIVE,,,,,,,
93307093,NCT02061878,RANDOMIZED,PARALLEL,,,,TRIPLE,,,True,False,True,True
93307094,NCT03132662,RANDOMIZED,PARALLEL,,TREATMENT,,NONE,,,,,,
93307095,NCT02274779,NA,SINGLE_GROUP,,TREATMENT,,NONE,,,,,,
93091114,NCT01475877,,,,,PROSPECTIVE,,,,,,,
93091115,NCT05532865,,,CASE_ONLY,,PROSPECTIVE,,,,,,,
93307096,NCT06385184,,,CASE_CONTROL,,CROSS_SECTIONAL,,,,,,,
93307097,NCT03126071,NON_RANDOMIZED,SINGLE_GROUP,,TREATMENT,,NONE,,,,,,
93307098,NCT04292964,,,COHORT,,RETROSPECTIVE,,,,,,,
93307099,NCT01333553,,,CASE_ONLY,,PROSPECTIVE,,,,,,,
93091116,NCT04380506,NA,SINGLE_GROUP,,TREATMENT,,NONE,,,,,,
93307100,NCT00688220,,,CASE_CONTROL,,PROSPECTIVE,,,,,,,
93307101,NCT05996367,NA,SINGLE_GROUP,,TREATMENT,,NONE,,,,,,
93307102,NCT03006185,RANDOMIZED,SINGLE_GROUP,,TREATMENT,,DOUBLE,,,False,False,True,True
93307103,NCT02169557,NA,SINGLE_GROUP,,TREATMENT,,NONE,,,,,,
93091117,NCT01609348,RANDOMIZED,PARALLEL,,TREATMENT,,TRIPLE,,,True,True,True,False
93091118,NCT03042117,,,CASE_CONTROL,,CROSS_SECTIONAL,,,,,,,
93091119,NCT05062122,,,COHORT,,OTHER,,,,,,,
93307104,NCT01468077,RANDOMIZED,PARALLEL,,TREATMENT,,NONE,,,,,,
93307105,NCT04520568,RANDOMIZED,PARALLEL,,DIAGNOSTIC,,SINGLE,,,True,False,False,False
93307106,NCT04058470,NA,SINGLE_GROUP,,TREATMENT,,NONE,,,,,,
93414897,NCT04951882,RANDOMIZED,PARALLEL,,TREATMENT,,NONE,,,,,,
93307107,NCT01450293,RANDOMIZED,PARALLEL,,PREVENTION,,SINGLE,,,False,False,False,True
93307108,NCT05347017,RANDOMIZED,PARALLEL,,TREATMENT,,SINGLE,,,False,False,False,True
93307109,NCT05879003,RANDOMIZED,PARALLEL,,TREATMENT,,QUADRUPLE,,,True,True,True,True
93307110,NCT03430544,RANDOMIZED,PARALLEL,,TREATMENT,,SINGLE,,,True,False,False,False
93307111,NCT03243240,,,CASE_ONLY,,CROSS_SECTIONAL,,,,,,,
93307112,NCT01928693,RANDOMIZED,PARALLEL,,TREATMENT,,SINGLE,,,False,False,True,False
93307113,NCT00925392,RANDOMIZED,SINGLE_GROUP,,HEALTH_SERVICES_RESEARCH,,NONE,,,,,,
93307114,NCT04349007,RANDOMIZED,PARALLEL,,OTHER,,SINGLE,Single (Investigator),,False,False,True,False
93307115,NCT04519593,RANDOMIZED,PARALLEL,,TREATMENT,,NONE,,Patients who meet study inclusion criteria will be randomized into one of two treatment arms: 1) laparoscopic myomectomy preceded by temporary uterine blood supply occlusion or 2) laparoscopic myomectomy with a conventional approach.,,,,
93414898,NCT00715780,,,COHORT,,PROSPECTIVE,,,,,,,
93414899,NCT06154044,NA,SINGLE_GROUP,,TREATMENT,,NONE,Imaging core lab employees will be blinded to the patient's status (before or after cell therapy),,,,,
93087009,NCT03532126,,,COHORT,,PROSPECTIVE,,,,,,,
93087010,NCT01081262,RANDOMIZED,PARALLEL,,TREATMENT,,NONE,,,,,,
93091120,NCT06453408,RANDOMIZED,PARALLEL,,TREATMENT,,SINGLE,,,True,False,False,False
93091121,NCT04849208,,,OTHER,,OTHER,,,,,,,
