id,nct_id,intervention_type,name,description
159585591,NCT06200844,BIOLOGICAL,ROTAVAC 5D,"Rotavirus Vaccine (ROTAVAC 5D), is a monovalent vaccine containing suspension of live attenuated rotavirus 116E prepared in Vero cells, containing NLT 105.0 FFU and administered as a three-dose regimen, 4 weeks apart."
159585592,NCT06200844,OTHER,Placebo,Placebo is administered as three doses 4 weeks apart
159585593,NCT04310241,BEHAVIORAL,"Patching therapy, Glasses","Patching, glasses and strabismus surgery are commonly employed measures in treatment of amblyopia and strabismus."
159585594,NCT05051345,OTHER,Informational Intervention,Receive information on the services provided for pregnant women and smoking cessation
159216873,NCT00417456,OTHER,Evisit,"Asynchronous,remote care delivery via a secure web platform"
159216874,NCT00417456,OTHER,Office visit,Conventional office-based care
159585595,NCT05051345,OTHER,Informational Intervention,Receive tobacco cessation self-help materials
159216875,NCT03816670,DRUG,Corifollitropin Alfa,late start (day 4) vs. corifollitropin-alfa standard start (day 2)
159216876,NCT06504693,DIAGNOSTIC_TEST,CBC,diagnostic tests for iron status
159216877,NCT00129012,PROCEDURE,Tomotherapy,
159216878,NCT02894008,DRUG,ChAd63-KH,ChAd63-KH in adults and adolescents with persistent PKDL.
159216879,NCT00399672,DRUG,Interferon injections and ribavirin,Weekly pegylated interferon injections will be administered by clinic staff and ribavirin will be dispensed in weekly medication pack.
159216880,NCT00399672,DRUG,Interferon injections and ribavirin,Patients will be offered the option of self or nurse administered pegylated interferon injections on an appointment basis. Ribavirin will be dispensed biweekly. The treatment medication cannot be stored at the clinic; it must be the subjects responsibility.
159216881,NCT01322308,DRUG,pioglitazone,30 mg tablet QD (taken once daily)
159216882,NCT01322308,DRUG,placebo,tablet taken once a day
159216883,NCT01481129,DRUG,Akt Inhibitor MK2206,Given PO
159216884,NCT01481129,OTHER,Laboratory Biomarker Analysis,Correlative studies
159216885,NCT01481129,OTHER,Pharmacological Study,Correlative studies
159216886,NCT03983148,BEHAVIORAL,Motivational interviewing,"There are 3 sessions. Each session is an about 60-minute individual motivational interviewing held by a trained registered nurse. The first session aims to develop an action plan that enables the parents to promote physical activity (PA) for their children. The second session targets to review the adherence to the action plan. The nurse will discuss the progress. In the last session, the aim is to motivate the parents promoting PA for their children in the long run. As such, the benefits of PA throughout the survivorship will be emphasized. And the nurse will work with the parents to identify the resources that can help maintain the designed action plan."
159216887,NCT03983148,BEHAVIORAL,Placebo control,"Other than usual medical care received by children, parents in this group will receive an individual, face-to-face intervention which mimics the time and attention received by those in the experimental group. The intervention includes three sessions of educational talk to parents of children with cancer on healthy diet for cancer patients, adverse effects of cancer treatment, methods to minimize adverse effects.

Subjects in both groups will receive a booklet developed by the advisory committee, which contains a various kind of physical activities specially designed for children with cancer."
159216888,NCT02439528,GENETIC,Genetic analysis,"One part of these patients is already included in a cohort: for them the blood sample will be centralized and then analyzed.

The other part of these patients will be recruited during the study: for them intervention will be blood samples for further genetic analysis."
159216889,NCT06202092,DEVICE,Phonophoresis,Ultrasound using honey as a media over the knee joint
159216890,NCT06202092,DEVICE,Ultrasound,ultrasound using gel as a media over the knee joint
159216891,NCT06202092,PROCEDURE,conventional physiotherapy,"TENS, Strengthening, and stretching exercises"
159216892,NCT02764424,DEVICE,NIPE (MDoloris®),"Each file consists of a simultaneous recording of an electrocardiogram signal according to usual practice (cardiac monitor PHILIPS), coupled with a concomitant registration of NIPE (Newborn Infant Parasympathetic Evaluation - MDoloris®). The electrocardiogram signal, respiration rate, oxygen saturation (SpO2) and NIPE are recorded simultaneously on a computer with a capture card. The other indices of Heart Rate Variability will be analyzed offline."
159216893,NCT03050775,DEVICE,Heated Ventilator Circuit,active heat and humidification during anesthesia by warming inspire gases without a heat-moisture exchanger
159216894,NCT03050775,DEVICE,Standard Ventilator Circuit,no active heat and humidification during anesthesia
159216895,NCT00006103,DRUG,fluorouracil,
159216896,NCT00006103,DRUG,irinotecan hydrochloride,
159216897,NCT00006103,DRUG,leucovorin calcium,
159400371,NCT04257058,BEHAVIORAL,Electronic educational material,Electronic media via email
159585596,NCT05051345,OTHER,Informational Intervention,Receive Smoke-Free Homes mailings
159585597,NCT05051345,OTHER,Media Intervention,Download and use the Wellness app
159585598,NCT05051345,OTHER,Questionnaire Administration,Ancillary studies
159585599,NCT05051345,BEHAVIORAL,Smoking Cessation Intervention,Receive Smoke-Free Homes kit
159585600,NCT05051345,OTHER,Survey Administration,Ancillary studies
159585601,NCT05051345,BEHAVIORAL,Telephone-Based Intervention,Receive telephone counseling sessions
159032307,NCT02617095,DEVICE,T2762,One drop in each eye 3 to 6 times daily
159032308,NCT02617095,DEVICE,Optive,One drop in each eye 3 to 6 times daily
159216898,NCT05060523,DRUG,Tolvaptan Tablets,"• Tolvaptan15 mg once a day for 7 days, stat with 7.5 mg and titrate to 15 mg in 24 hours max30 mg"
159216899,NCT05060523,DRUG,Midodrine Oral Tablet,"• Midodrine 5 mg at ""0"" hours and then 5 mg every 8 hours to maintain Target MAP-80"
159216900,NCT05060523,OTHER,Placebo,Placebo of Midodrine
159216901,NCT03988881,PROCEDURE,Revascularization,PCI or CABG
159216902,NCT03039621,DRUG,Ergoferon,For oral use.
159216903,NCT03039621,DRUG,Placebo,For oral use.
159216904,NCT04296643,DEVICE,Medical Mask,Medical Mask (known also as Surgical Mask)
159216905,NCT04296643,DEVICE,N95 respirator,N95 respirator
159216906,NCT00733850,DRUG,Kanglaite Injection plus gemcitabine,Intravenous repeating dose
159216907,NCT00733850,DRUG,Gemcitabine,Intravenous repeating dose
159400372,NCT03063944,DRUG,STAT Inhibitor OPB-111077,Given PO
159400373,NCT03063944,DRUG,Decitabine,Given IV
159400374,NCT03063944,DRUG,Venetoclax,Given PO
159216908,NCT03697174,OTHER,200 ppb ozone group,"The exposure group will be exposed to 200 ppb ozone in a chamber for 2 hours while alternating 20-min rest and 10-min exercise periods. The exercise workload will be adjusted to achieve the targeted ventilation of 25 \~ 27 L/min(approximately equal to 15 \~ 18L/min/m2 body surface area). The temperature and relative humidity in the chamber will be maintained at 22±1℃ and 55%±5%, respectively."
159216909,NCT03697174,OTHER,0 ppb ozone group,"The control group will be exposed to 0 ppb ozone in a chamber for 2 hours while alternating 20-min rest and 10-min exercise periods. The exercise workload will be adjusted to achieve the targeted ventilation of 25 \~ 27 L/min(approximately equal to 15 \~ 18L/min/m2 body surface area). The temperature and relative humidity in the chamber will be maintained at 22±1℃ and 55%±5%, respectively."
159216910,NCT01732094,DRUG,Triptorelin,Triptorelin 0.1 mg/1 ml solution daily from day 21 of the cycle onwards
159585602,NCT05051345,BEHAVIORAL,Telephone-Based Intervention,Receive a coaching call from a Baby Steps for Health counselor
159216911,NCT01732094,DRUG,Corifollitropin alfa 150μg,Corifollitropin alfa 150μg (single dose) 2 or 3 weeks after initiation of triptorelin
159216912,NCT01732094,DRUG,hpHMG,hpHMG 300IU daily from day 7 following Corifollitropin alfa onwards
159216913,NCT02868814,DRUG,Pregabalin Release Tablets,
159216914,NCT02868814,DRUG,Pregabalin Release Tablets,
159216915,NCT02868814,DRUG,Placebo,
159216916,NCT00831649,DRUG,natalizumab,
159585603,NCT05051345,OTHER,Tobacco Cessation Counseling,Receive telephone counseling sessions
159585604,NCT06537921,DRUG,Minocycline 200mg,Dosage: 2x100mg/daily for 8 weeks
159585605,NCT04313153,DRUG,Vadadustat,oral tablets
159585606,NCT04313153,DRUG,Darbepoetin alfa,intravenous or subcutaneous solution
159585607,NCT06240026,DEVICE,taVNS,"transauricular vagal nerve stimulation electrodes (NEMOS, CerboMed GmbH, Erlangen, Germany), attached to a digitimer."
159585608,NCT06240026,DEVICE,Earlobe Stimulation,"Standard electrodes (Ambu, Neuroline, Bordeaux, France) cut into 0.5cm and 1cm rounds, attached to a digitimer."
159585609,NCT04319237,OTHER,Handgrip strength test,The purpose of this test is to measure the maximum isometric strength of the hand and forearm muscles.
159585610,NCT04319237,BEHAVIORAL,Neuropsychological Assessment - Wechsler Test of Adult Reading (WTAR),"The Wechsler Test of Adult Reading (WTAR) is a neuropsychological assessment tool used to provide a measure of Intellectual function. Participants are presented with 50 irregularly spelled words and prompted to pronounce each; the irregular grapheme-to-phoneme translations (such as the ""gh"" in the word tough) in the prompts make it difficult to pronounce without having previously learned the word. A high WTAR score is correlated with higher general intelligence as measured by the Wechsler intelligence scales."
159585611,NCT04319237,BEHAVIORAL,Neuropsychological Assessment - Repeatable Battery for the Assessment of Status (RBANS),"The Repeatable Battery for the Assessment of Neuropsychological Status (RBANS) consists of twelve subtests which give five scores, one for each of the five domains tested (immediate memory, visuospatial/constructional, language, attention, delayed memory)."
159585612,NCT04319237,BEHAVIORAL,Neuropsychological Assessment - Color Trails,"The Color Trails test measures sustained attention and sequencing. Numbered circles are printed with vivid pink or yellow backgrounds that are perceptible to color-blind individuals. Participants rapidly connect circles numbered 1-25 in sequence and rapidly connect numbered circles in sequence, but alternates between pink and yellow. The length of time to complete each trial is recorded, along with qualitative features of performance indicative of brain dysfunction, such as near-misses, prompts, number sequence errors, and color sequence errors."
159585613,NCT04319237,BEHAVIORAL,Neuropsychological Assessment -Stroop Color and Word Test,"The Stroop Color and Word Test is based on the observation that individuals can read words much faster than they can identify and name colors. The test-taker reads color words or names ink colors from different pages as quickly as possible within a time limit. The test yields three scores based on the number of items completed on each of the three stimulus sheets. An Interference score is useful in determining the individual's cognitive flexibility, creativity, and reaction to cognitive pressures."
159585614,NCT04319237,BEHAVIORAL,Patient Reported Outcomes Measurement Information System-29 (PROMIS-29) Questionnaire,"The PROMIS-29 questionnaire assesses each of 7 domains (Depression, Anxiety, Physical Function, Pain Interference, Fatigue, Sleep Disturbance, and Ability to Participate in Social Roles and Activities). A higher score equals more of the concept being measured."
159216917,NCT01245517,OTHER,Education,Dietary Phosphorus Education Program
159216918,NCT05502536,OTHER,Traditional rehabilitation programs with Individualized fairytales class,"In addition to traditional rehabilitation programs, 30 minutes per week for 12 sessions of individualized fairytales classes by a child and educational teacher for three months, to preschool children with Attention Deficit Hyperactivity Disorder and developmental delays in regular traditional rehabilitation programs"
159216919,NCT02342093,DRUG,30EE+DRSP,"Combined oral contraceptive containing 30 mcg of ethinylestradiol + 3 mg of drospirenone (30EE+DRSP), 1 pill once a day with a pause of seven days between the blisters for 6 months"
159216920,NCT02342093,DRUG,20EE+DRSP,"Combined oral contraceptive containing 30 mcg of ethinylestradiol + 3 mg of drospirenone (20EE+DRSP), 1 pill once a day with a pause of four days between the blisters for 6 months"
159216921,NCT04884451,BEHAVIORAL,Lifestyle modification,Diet and physical activity modification and behavioral approach
159216922,NCT02383030,DRUG,Fulvestrant,"After randomization patients will receive (Arm A, experimental Arm) fulvestrant as the following schedule: 500 mg i.m. on Days 0, 14, 28 followed by fulvestrant 500 mg im given every 28 days until progression disease. Study will start after 42 days from the last cycle of chemotherapy"
159585615,NCT04319237,BEHAVIORAL,European Organization for the Research and Treatment of Cancer Quality of Life Questionnaire,"European Organization for the Research and Treatment of Cancer Quality of Life Questionnaire (EORTC QLQ C-3) and the add-on EORTC QLQ Non-Hodgkin's Lymphoma (EORTC QLQ-NHL-HG29) module. All scales range from 0-100, a high scale score represents a higher response level. For example, a high functional score represents a high level of functioning."
159400375,NCT03063944,OTHER,Laboratory Biomarker Analysis,Correlative studies
159585616,NCT04319237,BEHAVIORAL,Quality of Life (EQ-5D-5L) Questionnaire,"The EQ-5D-5L questionnaire is a self assessed quality of life questionnaire. The scale measures quality of life on a 5 component scale including mobility, self-care, usual activities, pain/discomfort, and anxiety/depression. The rater selects a number between 1-100 to describe the condition of their health, 100 being the best imaginable."
159585617,NCT04319237,BEHAVIORAL,PROMIS Cognitive Function 4a Questionnaire,"The PROMIS measures function, symptoms, behavior and feelings."
159216923,NCT04133064,DEVICE,Pivot Breath Sensor,The Pivot Breath Sensor measures the level of carbon monoxide in exhaled breath and displays the carbon monoxide value to the user.
159216924,NCT02048982,BEHAVIORAL,Guideline,Physicians will receive information on the Choosing Wisely Guideline
159216925,NCT02048982,BEHAVIORAL,Cost,Physicians will receive cost information.
159216926,NCT02048982,BEHAVIORAL,Victim,Physicians will receive information on an identifiable victim.
159216927,NCT01985854,DRUG,Propofol,
159216928,NCT01985854,DRUG,Desflurane,
159216929,NCT03084627,BEHAVIORAL,Tailored dietary advice,"The nutrient adequacy of the diet of each patient will be evaluated, at baseline, by a diet quality index: the PANDiet. Then, tailored dietary advice aiming at improving the nutrient adequacy of the diet will be generated for each patient in the arm #2. Patients will choose 3 tailored dietary advices among 3 options during three appointments with a research project team member (the first in person and the second and the third by phone). Each appointment will be spaced of 2 weeks. In total, each patient in the arm #2 will choose nine tailored dietary advice. Tailored dietary advices are of two kinds: substitution of a consumed food item by a food item in the same food subgroup or modification of the consumed amount (increase or decrease) of a food item. Tailored dietary advices cannot generate an increase of more than 190 kcal or a decrease as compared to the observed energy intake."
159216930,NCT06332638,DRUG,Tegoprazan 12.5mg,Oral administration of one tablet of Tegoprazan 12.5mg twice daily for 14 days.
159032309,NCT04278352,BEHAVIORAL,Mindfulness Based Relapse Prevention,"The intervention is a group skills training program that is delivered once weekly for eight weeks. Content focuses on mindfulness and cognitive-behavioral relapse prevention skills, including psychoeducation, experiential exercises, and between session homework assignments."
159216931,NCT06332638,DRUG,Tegoprazan 25mg,Oral administration of one tablet of Tegoprazan 25mg once daily for 14 days.
159216932,NCT06332638,DRUG,Famotidine 20mg,Oral administration of one tablet of Famotidine 20mg twice daily for 14 days.
159216933,NCT03603509,DRUG,Fluad Vaccine,FLUAD is an inactivated influenza vaccine indicated for active immunization against influenza. disease caused by influenza virus subtypes A and type B contained in the vaccine. FLUAD is. approved for use in persons 65 years of age and older.
159216934,NCT03603509,DRUG,Fluzone High-Dose,FLUZONE® HIGH-DOSE vaccine is indicated for people 65 years of age and older to help prevent influenza disease caused by influenza A and B strains contained in the vaccine.
159216935,NCT06516835,OTHER,Enteral fluid,GNAK will be administered to the gastrointestinal tract with EN in the same volume.
159216936,NCT06516835,OTHER,Intravenous fluid,"Undiluted EN will be given to the gastrointestinal tract. GNAK, in the same volume, will be administered intravenously."
159216937,NCT05719142,OTHER,Picture exposure,"Participants are shown pictures for 15 minutes; 50 images in total, each shown for 6 seconds, and 3 times in total."
159216938,NCT02821143,OTHER,usual palliative care,"Residents in the control group will receive usual palliative care usually delivered in their nursing homes , according to the habits of the healthcare team and their physician."
159216939,NCT02821143,OTHER,Telemedicine consultation,"Establishment of an initial multiprofessional Telemedicine consultation involving a palliative care physician and / or geriatrician, and other physician coordinator of nursing homes, health care team and if possible the patient's treating physician (patient and / or family may participate if they want to).

The aim is to define and formalize:

* Aid to collection and application of advanced directives according to Leonetti Act if the resident is able to do so, or collection of confidence personal choices.
* Definition of the objectives of care and patient's life and therapeutic adaptation with a focus on pain and uncomfortable symptoms.
* Access to a mobile team of palliative care or geriatric hospitalization at home, a hospice network, if the patient's situation requires.
* In case of medical worsening :

Possibility of access to consultations and use of emergency by tele-expertise or decision support within a maximum period of 72 hours, with the same objectives that above."
159216940,NCT05175118,DEVICE,Minimal invasive surgical fixation of distal radius Fractures,Fixation of distal radius Fractures by minimal invasive technique
159585618,NCT04319237,BEHAVIORAL,Comprehensive Score for Financial Toxicity (COST) measure,"The COST is a questionnaire made up of 11 statements around topics including costs, concerns and resources and is designed to measure financial toxicity. The user answers questions about their concern over finances numbered from 0-4, with 0 being not at all and 4 being very much."
159599698,NCT04509375,DEVICE,Cranial Doppler Ultrasonography,"Before and after the transfusions, flow measurements of middle cerebral arteries will be obtained."
159769476,NCT02322528,DRUG,Administration of Lotemax,An FDA approved drug (Lotemax) will be administered to induce an inflammatory mediated response in both eyes.
159216941,NCT03789409,DIETARY_SUPPLEMENT,Intermittent Fasting,The aforementioned intermittent fasting in arm/group descriptions.
159216942,NCT02622334,DRUG,Latanoprost,"Latanoprost is a ophthalmic solution, available in dose strength as 0.005%."
159216943,NCT02622334,DRUG,Placebo,Matching placebo formulation will be administered in Part A.
159216944,NCT02622334,DRUG,RO5093151,"RO5093151 is a ophthalmic solution, available in dose strengths as 0.1%, 0.5% and 1%."
159216945,NCT01533129,DRUG,Testogel 50 mg transdermal gel,50mg testosterone gel implementation on every night
159216946,NCT01533129,DRUG,Testosterone 250mg injection,The testosterone 250mg ester IM injections performed in three weeks.
159216947,NCT06433362,DRUG,CMOEP,"Drug: Mitoxantrone hydrochloride liposome Mitoxantrone hydrochloride liposome (18 mg/m\^2) on day 1, every 3 weeks; Drug: Cyclophosphamide Cyclophosphamide(750 mg/m\^2) on day 1,every 3 weeks; Drug: Vincristine Vincristine (1.4mg/ m2，Max dose 2mg) will be administered by an intravenous injection on day 1(Or at the discretion of the investigator, use other vinblastine drugs with the same mechanism, such as vindesine 3 mg/m2, the maximum dose of 4mg),every 3 weeks; Drug: Etoposide Etoposide (60 mg/ m2) will be administered by an intravenous infusion on day 1-3,every 3 weeks;"
159216948,NCT03874481,OTHER,Observation,follow up regularly for MACE
159216949,NCT02262312,OTHER,Transient elastography,All patients will have a transient elastography performed as a measure of liver stiffness.
159216950,NCT03467009,BEHAVIORAL,iPACT Intervention,"Brief in-person + tailored, daily 8-week text-message secondary prevention intervention."
159216951,NCT03467009,OTHER,Control: Enhanced Usual Care (EUC),EUC group participants will receive standardized information on cyberbullying.
159585619,NCT05999175,DEVICE,the toothpaste is used with a standard toothbrush without any claims 3 times a day after the main meals for 28 days.,the toothpaste is used with a standard toothbrush without any claims 3 times a day after the main meals for 28 days.
159585620,NCT05999175,DEVICE,"the mint toothpaste and mouthwash are used with the scalar toothbrush 33 medium with antibacterial "" Spazzolino tau-marin®"" 3 times a day after the main meals for 28 days.","the mint toothpaste and mouthwash are used with the scalar toothbrush 33 medium with antibacterial "" Spazzolino tau-marin®"" 3 times a day after the main meals for 28 days."
159585621,NCT05999175,DEVICE,subjects of this group will use their routine oral hygiene products.,subjects of this group will use their routine oral hygiene products.
159585622,NCT06957080,DRUG,EYE103,EYE103 is a humanized antibody formulated for intravitreal administration
159585623,NCT06957080,DRUG,Ranibizumab,Ranibizumab is a commercially available anti-VEGF treatment formulated for intravitreal administration for use in patients with diabetic macular edema
159585624,NCT06956742,DEVICE,Active intermittent intrapulmonary deflation.,"Intermittent intrapulmonary deflation sessions will be performed using the SIMEOX device (SIMEOX, PhysioAssist, Aix-en-Provence, France), which will be delivered to the patient's home by a home healthcare provider. The device power setting (25%, 50%, 75%, or 100%) will be individualized according to the parameters determined during the familiarization visit by a trained physiotherapist. Patients will be instructed to perform tidal volume inspirations followed by passive expirations into the device through a mouthpiece, up to their maximal tolerance. The device will be activated by the patient during expiration using a manual remote control.

Each device usage cycle consists of 10 expirations, with oscillations generated at 12 Hz during the first 8 cycles and at 6 Hz during the last 2 cycles. Rest periods will be allowed during the session, and a mandatory pause will be imposed every 10 expirations. The session duration is fixed at 20 minutes, with patients performing one session in the"
159599699,NCT04509375,DEVICE,Near-Infrared Spectroscopy,"Before, during and after the transfusions, regional cerebral oxygen saturation measurements will be obtained."
159216952,NCT03467009,BEHAVIORAL,iPACT Intervention- app,"Brief in-person + tailored, daily 8-week message secondary prevention intervention delivered via app."
159216953,NCT03274999,DEVICE,TrueTear™ Application,Intranasal and extranasal application of TrueTear™ device for approximately 3 minutes at Day 0 and Day 14.
159216954,NCT01097876,DRUG,PF-04447943 25 mg,25 mg PF-04447943 BID for 7 days (period 1) 7 day washout (no drug) 7 days of 5 mg donepezil QD; 14 days 10 mg QD (Period 2) 7 days of 10 mg donepezil QD and 25 mg PF-04447943 BID (Period 3)
159216955,NCT01097876,DRUG,Placebo PF,Placebo BID for 7 days (period 1) 7 day washout (no drug) 7 days of 5 mg donepezil QD; 14 days 10 mg QD (Period 2) 7 days of 10 mg donepezil QD and Placebo BID (Period 3)
159216956,NCT04864860,DIETARY_SUPPLEMENT,brown seaweed (ecklonia cava),"The intervention product used in this study is a dietary supplement called ""Seanol"" that contain 13% pholoratannic polyphenol per capsule as stated by the manufacture company (Seanol inside, 4215 95th St SW Lakewood, WA 98499 USA). Other ingredients are dextrin, magnesium stearate and silica (in neglected percentage). The intervention supplement is encapsulated in vegetable cellulose that contains 500 Ecklonia cava extract (Seanol). The placebo will be dextrin (BETA CYCLODEXTRIN, NF) ordered from a pharmaceutical company ""MEDISCA"" (https://www.medisca.co.uk/). Dextrin was selected to account for the similar complex carbohydrate content of the intervention supplement. Placebo will be encapsulated in vegetable cellulose capsules that is identical in size and coulure to the intervention capsules. The empty capsules will be ordered from MEDISCA and will be encapsulated in by SPIMACO ADDWAIEH (SFDA registered pharmaceutical company) (http://www.spimaco.com.sa/)."
159216957,NCT02038374,PROCEDURE,biopsies,
159216958,NCT00316550,DRUG,AV608,
159216959,NCT01535300,PROCEDURE,Ultrasonography of the trachea,Ultrasonographic measurement of the minimal transverse tracheal diameter
159216960,NCT01240265,DIETARY_SUPPLEMENT,Vitamin D3,"150,000 IU orally given once"
159216961,NCT01240265,DIETARY_SUPPLEMENT,Vitamin D3,5000 IU given orally daily for 28 days
159216962,NCT03475953,DRUG,Phase 1 : Regorafenib,"A treatment cycle consists of 4 weeks. Treatment may continue until disease progression or study discontinuation (withdrawal of consent, intercurrent illness, unacceptable adverse event or any other changes unacceptable for further treatment, etc.). Patients will be allocated 3 dose levels of Regorafenib following a 3 + 3 design."
