nct_id,phase,condition,intervention_type,sponsor_type,enrollment,status,outcome_label,final_outcome
NCT00000102,PHASE1/PHASE2,Congenital Adrenal Hyperplasia,DRUG,NIH,,COMPLETED,,Failed
NCT00000104,,Lead Poisoning,PROCEDURE,FED,,COMPLETED,,Failed
NCT00000105,,Cancer,BIOLOGICAL,OTHER,112.0,TERMINATED,,Failed
NCT00000106,NA,Rheumatic Diseases,DEVICE,NIH,,UNKNOWN,,Failed
NCT00000107,,"Heart Defects, Congenital",,NIH,,COMPLETED,,Failed
NCT00000108,NA,Cardiovascular Diseases,BEHAVIORAL,NIH,,COMPLETED,,Failed
NCT00000110,NA,Obesity,PROCEDURE,NIH,,COMPLETED,,Failed
NCT00000111,PHASE1,Mouth Diseases,PROCEDURE,NIH,,UNKNOWN,,Failed
NCT00000112,,Obesity,,NIH,,UNKNOWN,,Failed
NCT00000113,PHASE3,Myopia,OTHER,NIH,469.0,COMPLETED,,Failed
NCT00000114,PHASE3,Retinitis Pigmentosa,DRUG,NIH,,COMPLETED,,Failed
NCT00000115,PHASE2,"Macular Edema, Cystoid",DRUG,NIH,,COMPLETED,,Failed
NCT00000116,PHASE3,Retinitis Pigmentosa,DIETARY_SUPPLEMENT,NIH,221.0,COMPLETED,,Failed
NCT00000117,PHASE3,Optic Neuritis,DRUG,NIH,,COMPLETED,,Failed
NCT00000118,PHASE3,HIV Infections,DEVICE,NIH,,COMPLETED,,Failed
NCT00000119,PHASE2,Cataract,DEVICE,NIH,,UNKNOWN,,Failed
NCT00000120,PHASE3,Chlamydia Infections,DRUG,NIH,,COMPLETED,,Failed
NCT00000121,PHASE3,Esotropia,DEVICE,NIH,,COMPLETED,,Failed
NCT00000122,PHASE3,Glaucoma,DRUG,NIH,,COMPLETED,,Failed
NCT00000123,PHASE3,Astigmatism,DEVICE,NIH,,COMPLETED,,Failed
NCT00000124,PHASE3,Choroid Neoplasms,PROCEDURE,NIH,,UNKNOWN,,Failed
NCT00000125,PHASE3,Ocular Hypertension,DRUG,NIH,1636.0,COMPLETED,Incidence of Primary Open-Angle Glaucoma in Hypotensive Patients,Passed
NCT00000126,,Ischemic Optic Neuropathy,PROCEDURE,NIH,,UNKNOWN,,Failed
NCT00000127,PHASE3,Ischemic Optic Neuropathy,PROCEDURE,NIH,,COMPLETED,,Failed
NCT00000128,PHASE3,Myopia,DEVICE,NIH,,UNKNOWN,,Failed
NCT00000129,PHASE3,Myopia,PROCEDURE,NIH,,COMPLETED,,Failed
NCT00000130,PHASE3,Endophthalmitis,DRUG,NIH,,COMPLETED,,Failed
NCT00000131,PHASE3,Retinal Vein Occlusion,PROCEDURE,NIH,,COMPLETED,,Failed
NCT00000132,PHASE3,Open-Angle Glaucoma,DRUG,NIH,,UNKNOWN,,Failed
NCT00000133,NA,Retinopathy of Prematurity,PROCEDURE,NIH,,COMPLETED,,Failed
NCT00000134,PHASE3,HIV Infections,DRUG,NIH,279.0,COMPLETED,Morbidity,Passed
NCT00000135,PHASE2/PHASE3,HIV Infections,DRUG,OTHER,209.0,COMPLETED,Mortality Rate,Passed
NCT00000136,PHASE3,HIV Infections,DRUG,NIH,234.0,COMPLETED,Mortality,Passed
NCT00000137,PHASE3,Corneal Transplantation,PROCEDURE,NIH,,COMPLETED,,Failed
NCT00000138,PHASE3,"Keratitis, Herpetic",DRUG,NIH,,UNKNOWN,,Failed
NCT00000139,PHASE3,"Keratitis, Herpetic",BEHAVIORAL,NIH,,COMPLETED,,Failed
NCT00000140,PHASE3,Proliferative Vitreoretinopathy,DRUG,NIH,,COMPLETED,,Failed
NCT00000142,PHASE2/PHASE3,HIV Infections,DRUG,OTHER,64.0,COMPLETED,Survival,Passed
NCT00000143,PHASE3,Cytomegalovirus Retinitis,DEVICE,OTHER,61.0,COMPLETED,Survival,Passed
NCT00000144,PHASE3,Open-Angle Glaucoma,PROCEDURE,NIH,,COMPLETED,,Failed
NCT00000145,PHASE3,Macular Degeneration,DIETARY_SUPPLEMENT,INDUSTRY,4757.0,COMPLETED,,Failed
NCT00000146,PHASE3,Multiple Sclerosis,DRUG,NIH,,UNKNOWN,,Failed
NCT00000147,NA,Multiple Sclerosis,DRUG,NIH,,UNKNOWN,,Failed
NCT00000148,PHASE3,Glaucoma,PROCEDURE,NIH,,UNKNOWN,,Failed
NCT00000149,PHASE3,Open-Angle Glaucoma,DRUG,NIH,,UNKNOWN,,Failed
NCT00000150,PHASE3,Macular Degeneration,PROCEDURE,NIH,,COMPLETED,,Failed
NCT00000151,PHASE3,Blindness,DRUG,NIH,,COMPLETED,,Failed
NCT00000152,PHASE3,Macular Degeneration,DRUG,NIH,,UNKNOWN,,Failed
NCT00000153,PHASE3,Diabetic Retinopathy,PROCEDURE,NIH,,COMPLETED,,Failed
NCT00000154,PHASE3,Diabetic Retinopathy,PROCEDURE,NIH,,COMPLETED,,Failed
NCT00000155,,Keratoconus,,NIH,,UNKNOWN,,Failed
NCT00000156,PHASE3,Retinopathy of Prematurity,DEVICE,NIH,,COMPLETED,,Failed
NCT00000157,PHASE3,Cataract,DRUG,NIH,,TERMINATED,,Failed
NCT00000158,PHASE3,Choroidal Neovascularization,PROCEDURE,NIH,,UNKNOWN,,Failed
NCT00000159,PHASE3,Diabetic Retinopathy,DRUG,NIH,,COMPLETED,,Failed
NCT00000160,PHASE3,Diabetic Retinopathy,PROCEDURE,NIH,,COMPLETED,,Failed
NCT00000161,PHASE3,Macular Degeneration,DRUG,NIH,,UNKNOWN,,Failed
NCT00000162,PHASE3,Macular Degeneration,PROCEDURE,NIH,,COMPLETED,,Failed
NCT00000163,,Esotropia,,NIH,,COMPLETED,,Failed
NCT00000167,PHASE3,Macular Degeneration,PROCEDURE,NIH,1052.0,COMPLETED,,Failed
NCT00000168,,HIV Infections,,NIH,2392.0,COMPLETED,,Failed
NCT00000169,,Myopia,,NIH,,UNKNOWN,,Failed
NCT00000170,PHASE3,Amblyopia,DRUG,NIH,419.0,COMPLETED,,Failed
NCT00000171,PHASE3,Alzheimer Disease,DRUG,NIH,,COMPLETED,,Failed
NCT00000172,PHASE3,Alzheimer Disease,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00000173,PHASE3,Alzheimer Disease,DRUG,OTHER,,COMPLETED,,Failed
NCT00000174,PHASE3,Alzheimer Disease,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00000175,NA,Cognition Disorders,DRUG,NIH,,TERMINATED,,Failed
