id,nct_id,outcome_id,result_group_id,ctgov_group_code,classification,category,title,description,units,param_type,param_value,param_value_num,dispersion_type,dispersion_value,dispersion_value_num,dispersion_lower_limit,dispersion_upper_limit,explanation_of_na,dispersion_upper_limit_raw,dispersion_lower_limit_raw
753204137,NCT00678743,100831999,316074739,OG000,Placebo + simvastatin 20 mg/d,,Median % Change in Non-HDL-C From Baseline to Week 6,"The primary efficacy endpoint will be the median percent change in non-HDL-C from baseline (average of weeks -2, -1, and 0) of the PRV-06009 (NCT00487591) double-blind study to Week 6 of PRV-06009X.

Briefly, non-HDL-C was measured at Weeks -2, -1, and 0 from blood samples, and the concentrations of non-HDL-C in the blood at these timepoints were averaged to obtain baseline non-HDL-C concentration. Similarly, non-HDLC was measured at Week 6 from blood samples. Statistical analysis was performed comparing the change in non-HDL-C concentration from baseline to Week 6 and presented herein.",Median percent change from baseline,MEDIAN,-34.9,-34.9,95% Confidence Interval,,,-40.0,-30.42,,-30.42,-40.00
753204138,NCT00678743,100832000,316074740,OG000,,,Median % Change in Non-HDL-C From Baseline to Week 52 by Final Dose of Simvastatin,"The median percent change in non-HDL-C from baseline (average of weeks -2, -1, and 0) of the PRV-06009 (NCT00487591) double-blind study to week 52 of PRV-06009X open-label treatment",Median percent change from baseline,MEDIAN,-50.33,-50.33,95% Confidence Interval,,,-58.49,-43.39,,-43.39,-58.49
753204139,NCT00678743,100832000,316074741,OG001,,,Median % Change in Non-HDL-C From Baseline to Week 52 by Final Dose of Simvastatin,"The median percent change in non-HDL-C from baseline (average of weeks -2, -1, and 0) of the PRV-06009 (NCT00487591) double-blind study to week 52 of PRV-06009X open-label treatment",Median percent change from baseline,MEDIAN,-40.39,-40.39,95% Confidence Interval,,,-53.33,-36.04,,-36.04,-53.33
753204140,NCT00678743,100832001,316074742,OG000,,,Median % Change in Non-HDL-C From Baseline to Week 104,"The median percent change in non-HDL-C from baseline (average of weeks -2, -1, and 0) of the PRV-06009 (NCT00487591) double-blind study to week 104 of PRV-06009X open-label treatment",Median percent change from baseline,MEDIAN,-53.46,-53.46,95% Confidence Interval,,,-59.45,-40.17,,-40.17,-59.45
753204141,NCT00678743,100832001,316074743,OG001,,,Median % Change in Non-HDL-C From Baseline to Week 104,"The median percent change in non-HDL-C from baseline (average of weeks -2, -1, and 0) of the PRV-06009 (NCT00487591) double-blind study to week 104 of PRV-06009X open-label treatment",Median percent change from baseline,MEDIAN,-51.25,-51.25,95% Confidence Interval,,,-58.93,-43.56,,-43.56,-58.93
753204142,NCT01948193,100832002,316074744,OG000,"Anti-Diphtheria; Pre-dose, 1 ≥0.01 (N=152)",,Percentage of Participants With Seroprotection Before and After Vaccinations With Sanofi Pasteur's DTaP-IPV-HB-PRP-T Combined Vaccine Following a Documented Dose of a Commercial Oral Poliovirus Vaccine and Recombinant Hep B Monovalent Vaccine at Birth,"Diphtheria antibodies were measured by a toxin neutralization test, tetanus antibodies by an enzyme-linked immunosorbent assay (ELISA), Haemophilus influenzae type b polysaccharide (PRP) antibodies by Farr type radioimmunoassay, poliovirus 1, 2, and 3 antibodies by a neutralization assay, and Hepatitis B (Hep B) antibodies were measured by VITROS ECi/ECiQ Immunodiagnostic System.

Description of seroprotection: Diphtheria and Tetanus antibody concentrations ≥0.01 International Units (IU)/mL; Poliovirus 1, 2, and 3 titers ≥8 (1/dilution); Hep B concentrations ≥10 mIU/mL, and PRP ≥0.15 µg/mL.",Percentage of participants,NUMBER,67.1,67.1,,,,,,,,
753204143,NCT01948193,100832002,316074744,OG000,"Anti-Diphtheria; Pre-dose 1, ≥0.1 (N=152)",,Percentage of Participants With Seroprotection Before and After Vaccinations With Sanofi Pasteur's DTaP-IPV-HB-PRP-T Combined Vaccine Following a Documented Dose of a Commercial Oral Poliovirus Vaccine and Recombinant Hep B Monovalent Vaccine at Birth,"Diphtheria antibodies were measured by a toxin neutralization test, tetanus antibodies by an enzyme-linked immunosorbent assay (ELISA), Haemophilus influenzae type b polysaccharide (PRP) antibodies by Farr type radioimmunoassay, poliovirus 1, 2, and 3 antibodies by a neutralization assay, and Hepatitis B (Hep B) antibodies were measured by VITROS ECi/ECiQ Immunodiagnostic System.

Description of seroprotection: Diphtheria and Tetanus antibody concentrations ≥0.01 International Units (IU)/mL; Poliovirus 1, 2, and 3 titers ≥8 (1/dilution); Hep B concentrations ≥10 mIU/mL, and PRP ≥0.15 µg/mL.",Percentage of participants,NUMBER,15.8,15.8,,,,,,,,
753204144,NCT01948193,100832002,316074744,OG000,"Anti-Diphtheria; Post-dose 3; ≥0.01, (N=135)",,Percentage of Participants With Seroprotection Before and After Vaccinations With Sanofi Pasteur's DTaP-IPV-HB-PRP-T Combined Vaccine Following a Documented Dose of a Commercial Oral Poliovirus Vaccine and Recombinant Hep B Monovalent Vaccine at Birth,"Diphtheria antibodies were measured by a toxin neutralization test, tetanus antibodies by an enzyme-linked immunosorbent assay (ELISA), Haemophilus influenzae type b polysaccharide (PRP) antibodies by Farr type radioimmunoassay, poliovirus 1, 2, and 3 antibodies by a neutralization assay, and Hepatitis B (Hep B) antibodies were measured by VITROS ECi/ECiQ Immunodiagnostic System.

Description of seroprotection: Diphtheria and Tetanus antibody concentrations ≥0.01 International Units (IU)/mL; Poliovirus 1, 2, and 3 titers ≥8 (1/dilution); Hep B concentrations ≥10 mIU/mL, and PRP ≥0.15 µg/mL.",Percentage of participants,NUMBER,99.3,99.3,,,,,,,,
756409368,NCT02247440,101267413,317512476,OG000,Week 16 to Week 28,PegINF not injected,Number of Participants Able to Perform Self-injections of Peg-interferon,Number of participants able to perform self-injections of peg-interferon.,Participants,COUNT_OF_PARTICIPANTS,0,0.0,,,,,,,,
753204145,NCT01948193,100832002,316074744,OG000,Anti-Diphtheria; Post-dose 3; ≥0.1 (N=135),,Percentage of Participants With Seroprotection Before and After Vaccinations With Sanofi Pasteur's DTaP-IPV-HB-PRP-T Combined Vaccine Following a Documented Dose of a Commercial Oral Poliovirus Vaccine and Recombinant Hep B Monovalent Vaccine at Birth,"Diphtheria antibodies were measured by a toxin neutralization test, tetanus antibodies by an enzyme-linked immunosorbent assay (ELISA), Haemophilus influenzae type b polysaccharide (PRP) antibodies by Farr type radioimmunoassay, poliovirus 1, 2, and 3 antibodies by a neutralization assay, and Hepatitis B (Hep B) antibodies were measured by VITROS ECi/ECiQ Immunodiagnostic System.

Description of seroprotection: Diphtheria and Tetanus antibody concentrations ≥0.01 International Units (IU)/mL; Poliovirus 1, 2, and 3 titers ≥8 (1/dilution); Hep B concentrations ≥10 mIU/mL, and PRP ≥0.15 µg/mL.",Percentage of participants,NUMBER,49.6,49.6,,,,,,,,
