id,nct_id,outcome_type,title,description,time_frame,population,anticipated_posting_date,anticipated_posting_month_year,units,units_analyzed,dispersion_type,param_type
100897240,NCT04382326,SECONDARY,GMRs of Prespecified Antibody Levels to Specific Concomitant Vaccine Antigen (Mumps) 1 Month After Dose 4,Antibody concentrations to concomitant vaccine antigen (mumps) were determined on sera collected 1 month after Dose 4 from a randomly selected subset of participants with sufficient sera volumes. GMs and 2-sided CIs were calculated by exponentiating the mean logarithm of the concentrations and the corresponding CIs based on the Student's t distribution and were reported from Dose 4 evaluable immunogenicity participants.,1 month after Dose 4,"Dose 4 evaluable immunogenicity population: eligible participants aged 42-98 days on Dose 1, received all 4 doses, have at least 1 valid immunogenicity result within 27 to 56 days after Dose 4, and had no other major protocol deviations as determined by the clinician. ""Number of Participants Analyzed""=number of participants in Dose 4 evaluable immunogenicity population with valid antibody concentrations for the specified antigen reported at 1 month after Dose 4.",,,AU/mL,,95% Confidence Interval,GEOMETRIC_MEAN
100897241,NCT04382326,SECONDARY,GMRs of Prespecified Antibody Levels to Specific Concomitant Vaccine Antigens (Rubella) 1 Month After Dose 4,Antibody concentrations to concomitant vaccine antigen (rubella) were determined on sera collected 1 month after Dose 4 from a randomly selected subset of participants with sufficient sera volumes. GMs and 2-sided CIs were calculated by exponentiating the mean logarithm of the concentrations and the corresponding CIs based on the Student's t distribution and were reported from Dose 4 evaluable immunogenicity participants.,1 month after Dose 4,"Dose 4 evaluable immunogenicity population: eligible participants aged 42-98 days on Dose 1, received all 4 doses, had at least 1 valid immunogenicity result within 27 to 56 days after Dose 4, and had no other major protocol deviations as determined by the clinician. ""Number of Participants Analyzed""= number of participants in Dose 4 evaluable immunogenicity population with valid antibody concentrations for the specified antigen reported at 1 month after Dose 4",,,IU/mL,,95% Confidence Interval,GEOMETRIC_MEAN
100897242,NCT04382326,SECONDARY,GMRs of Prespecified Antibody Levels to Specific Concomitant Vaccine Antigen (Varicella) 1 Month After Dose 4,Antibody concentrations to concomitant vaccine antigen (varicella) were determined on sera collected 1 month after Dose 4 from a randomly selected subset of participants with sufficient sera volumes. GMs and 2-sided CIs were calculated by exponentiating the mean logarithm of the concentrations and the corresponding CIs based on the Student's t distribution and were reported from Dose 4 evaluable immunogenicity participants.,1 month after Dose 4,"Dose 4 evaluable immunogenicity population: eligible participants aged 42-98 days on Dose 1, received all 4 doses, had at least 1 valid immunogenicity result within 27 to 56 days after Dose 4, and had no other major protocol deviations as determined by the clinician. ""Number of Participants Analyzed""= number of participants in Dose 4 evaluable immunogenicity population with valid antibody concentrations for the specified antigen reported at 1 month after Dose 4.",,,mIU/mL,,95% Confidence Interval,GEOMETRIC_MEAN
101014845,NCT03675308,SECONDARY,Percentage of Participants With Resolution of Enthesitis at Week 24,"Resolution of enthesitis is defined as a Leeds Enthesitis Index (LEI) score = 0.

LEI is an enthesitis measure developed specifically for PsA and assesses the presence or absence of tenderness at the following 3 bilateral enthesial sites: medial femoral condyles, lateral epicondyles of the humerus, and Achilles tendon insertions. Tenderness on examination is recorded as either present (coded as 1), absent (coded as 0), or not assessed for each of the 6 sites. The LEI is calculated by taking the sum of the scores from the 6 sites. The LEI ranges from 0 to 6 (worst).

To increase the sample size due to the smaller number of participants with enthesitis at Baseline, the pre-specified analysis of the resolution of enthesitis included pooled data from KEEPsAKE 1 (this study) and the companion study KEEPsAKE 2 (M15-998; NCT03671148).",Week 24,Full analysis set participants with a Baseline LEI \> 0; Includes pooled data from KEEPsAKE 1 (this study) and the companion study M15-998 (NCT03671148; KEEPsAKE2). Non-responder imputation incorporating multiple imputation to handle missing data due to COVID-19 (NRI-C) was used in the analysis.,,,percentage of participants,,95% Confidence Interval,NUMBER
100897243,NCT01790750,PRIMARY,False Positives Results of Pocket Echocardiography System (PES) Detection of Patent Ductus Arteriosus (PDA) to Full Featured Echo System (FFES),Evaluate the usefulness of the currently FDA approved Pocket Echocardiography System (PES) in PDA detection as compared to Full Featured Echo System (FFES) by looking at false positives between the two systems.,at baseline,,,,percentage of false positives,,Standard Deviation,MEAN
100897244,NCT01790750,PRIMARY,False Negative Results of Pocket Echocardiography System (PES) Detection of Patent Ductus Arteriosus (PDA) to Full Featured Echo System (FFES),Evaluate the usefulness of the currently FDA approved Pocket Echocardiography System (PES) in PDA detection as compared to Full Featured Echo System (FFES) by looking at false negatives between the two systems.,at baseline,,,,percentage of false negative,,Standard Deviation,MEAN
100897245,NCT01992536,PRIMARY,"1. Percentages of Subjects With HT-hSBA (High-throughput Human Serum Bactericidal Assay) Seroresponse Against N. Meningitidis Serogroups A, C, W and Y.","Percentages of subjects having HT-hSBA seroresponse against N. meningitidis serogroups A, C, W and Y, following administration of a booster dose of MenABCWY, in the present study, in subjects who previously received the same MenABCWY vaccine formulation in study V102_03 (NCT01272180). Seroresponse to N. meningitidis serogroups A, C, W and Y is defined as: for subjects with a pre-vaccination HT-hSBA titer \< 1:4, a post-vaccination hSBA titer ≥ 1:8; for subjects with a pre-vaccination hSBA titer ≥ 1:4, an increase in hSBA titer of at least four times the pre-vaccination titer.",Day 30,"Analysis was done on FAS Day 30 (Booster) population.. All subjects in the enrolled population who were randomized, actually received the study vaccination in V102_03E1 and provided an evaluable serum sample at Day 30 (for seroresponse, Day 1 and Day 30 samples were required).",,,Percentages of Subjects,,95% Confidence Interval,NUMBER
100897246,NCT01992536,PRIMARY,2. Percentage of Subjects With HT-hSBA Titers ≥ 1:5 Against Strains of N. Meningitidis Serogroups B.,"Percentage of subjects reporting HT-hSBA titers ≥ 1:5 against strains of N. meningitidis serogroups B at baseline (Day 1) and one month (Day 30) following administration of a booster dose of MenABCWY, in the present study, in subjects who previously received the same MenABCWY vaccine formulation in study V102_03 (NCT01272180).",Day 1 and Day 30,"Analysis was done on FAS Day 30 (Booster) population. All subjects in the enrolled population who were randomized, actually received the study vaccination in V102_03E1 and provided an evaluable serum sample at Day 30 (for seroresponse, Day 1 and Day 30 samples were required).",,,Percentages of Subjects,,95% Confidence Interval,NUMBER
100897247,NCT01992536,SECONDARY,"3. Percentage of Subjects With HT-hSBA Titer ≥ 1:8 to N. Meningitides Serogroups A, C, W, Y.","Percentage of subjects with HT-hSBA titer ≥ 1:8 in serogroups A, C, W, Y against N. meningitides assessed prior to the administration of MenABCWY booster vaccination or placebo.

Pre vaccination is 24 months after completion of the primary vaccination series, in subjects who previously received the same vaccine formulation in study V102_03 (NCT01272180).",Day 1 (Pre vaccination),Analysis was done on FAS Day 1 (Persistence) population. All subjects in the enrolled population who provided an evaluable serum sample at Day 1.,,,Percentages of Subjects,,95% Confidence Interval,NUMBER
101133831,NCT04134728,SECONDARY,Percentage of Participants With 70% Improvement in American College of Rheumatology Criteria (ACR70) at Week 12,"ACR70 is calculated as a 70% improvement from Baseline in Tender Joint Count 68 (TJC68) and Swollen Joint Count 66 (SJC66) and a 70% improvement in 3 of the following 5 measures: Patient's Global Assessment of Arthritis Disease Activity (PtGA) (visual analogue scale (VAS) with values from 0=best to 100=worst), Physician Global Assessment of Arthritis Disease Activity (PhGA) (VAS with values from 0=best to 100=worst), Patient Assessment of Arthritis Pain (VAS with values from 0=no pain and 100=most severe pain), Health Assessment Questionnaire-Disability Index (HAQ-DI) (ranges from 0 to 3 where 0 = least difficulty and 3 = extreme difficulty) and an acute-phase reactant (high sensitivity C-reactive Protein mg/L (hsCRP)). For the purpose of all analyses up to week 12, the placebo arms were pooled into a single placebo arm to primarily serve as a reference for the comparison of active treatment arms.",Week 12,The analysis was performed on the ITT Set that includes all randomized participants who received at least one dose of study intervention. This population was based on the treatment the participants were randomized into. Analysis was performed using multiple imputation method to handle missing data.,,,Percentage of participants,,,NUMBER
101133832,NCT04134728,SECONDARY,Percentage of Participants With ACR70 at Week 24 for Treatment Arms That Started Study Intervention From Day 1,"ACR70 is calculated as a 70% improvement from Baseline in TJC68 and SJC66 and a 70% improvement in 3 of the following 5 measures: Patient's Global Assessment of Arthritis Disease Activity (PtGA), Physician Global Assessment of Arthritis Disease Activity (PhGA) (VAS values from 0=best to 100=worst), Patient Assessment of Arthritis Pain (VAS values from 0=no pain to 100=most severe pain), Health Assessment Questionnaire-Disability Index (HAQ-DI) (0=least difficulty to 3=extreme difficulty) and an acute-phase reactant (high sensitivity C-reactive Protein mg/L (hsCRP).",Week 24,The analysis was performed on all randomized participants who received study intervention from Day 01 to Week 24. Analysis was performed using multiple imputation method to handle missing data.,,,Percentage of participants,,,NUMBER
