id,nct_id,ctgov_group_code,result_type,title,description,outcome_id
317109279,NCT05643170,OG000,Outcome,KarXT,"Participants started on a lead-in dose of KarXT 50/20 mg (xanomeline 50 mg/trospium chloride 20 mg), twice daily (BID) Day 1 to Day 7. Followed by the following titration schedule:

* Week 1 (Days 1 to 7) - KarXT 50/20 mg, BID.
* Week 2 (Days 8 to 14) - KarXT 100/20 mg (xanomeline 100 mg/trospium chloride 20 mg), BID or remain on 50/20 mg, BID.
* Week 3 (Days 15 to 21) - KarXT 125/30 mg (xanomeline 125 mg/trospium chloride 30 mg), BID or 100/20 mg, BID.
* Weeks 4 to 156 (Days 22 to 1092) - Flexible dosing based on tolerability and clinical response to KarXT 50/20 mg, KarXT 100/20 mg, and KarXT 125/30 mg, BID.",101145084.0
317109280,NCT05643170,OG000,Outcome,KarXT,"Participants started on a lead-in dose of KarXT 50/20 mg (xanomeline 50 mg/trospium chloride 20 mg), twice daily (BID) Day 1 to Day 7. Followed by the following titration schedule:

* Week 1 (Days 1 to 7) - KarXT 50/20 mg, BID.
* Week 2 (Days 8 to 14) - KarXT 100/20 mg (xanomeline 100 mg/trospium chloride 20 mg), BID or remain on 50/20 mg, BID.
* Week 3 (Days 15 to 21) - KarXT 125/30 mg (xanomeline 125 mg/trospium chloride 30 mg), BID or 100/20 mg, BID.
* Weeks 4 to 156 (Days 22 to 1092) - Flexible dosing based on tolerability and clinical response to KarXT 50/20 mg, KarXT 100/20 mg, and KarXT 125/30 mg, BID.",101145085.0
317109281,NCT05643170,OG000,Outcome,KarXT,"Participants started on a lead-in dose of KarXT 50/20 mg (xanomeline 50 mg/trospium chloride 20 mg), twice daily (BID) Day 1 to Day 7. Followed by the following titration schedule:

* Week 1 (Days 1 to 7) - KarXT 50/20 mg, BID.
* Week 2 (Days 8 to 14) - KarXT 100/20 mg (xanomeline 100 mg/trospium chloride 20 mg), BID or remain on 50/20 mg, BID.
* Week 3 (Days 15 to 21) - KarXT 125/30 mg (xanomeline 125 mg/trospium chloride 30 mg), BID or 100/20 mg, BID.
* Weeks 4 to 156 (Days 22 to 1092) - Flexible dosing based on tolerability and clinical response to KarXT 50/20 mg, KarXT 100/20 mg, and KarXT 125/30 mg, BID.",101145086.0
317109282,NCT05643170,OG000,Outcome,KarXT,"Participants started on a lead-in dose of KarXT 50/20 mg (xanomeline 50 mg/trospium chloride 20 mg), twice daily (BID) Day 1 to Day 7. Followed by the following titration schedule:

* Week 1 (Days 1 to 7) - KarXT 50/20 mg, BID.
* Week 2 (Days 8 to 14) - KarXT 100/20 mg (xanomeline 100 mg/trospium chloride 20 mg), BID or remain on 50/20 mg, BID.
* Week 3 (Days 15 to 21) - KarXT 125/30 mg (xanomeline 125 mg/trospium chloride 30 mg), BID or 100/20 mg, BID.
* Weeks 4 to 156 (Days 22 to 1092) - Flexible dosing based on tolerability and clinical response to KarXT 50/20 mg, KarXT 100/20 mg, and KarXT 125/30 mg, BID.",101145087.0
315928724,NCT01525615,OG000,Outcome,Placebo,"once daily 2 puffs, solution for inhalation Respimat

placebo to tiotropium+olodaterol: comparator",100789314.0
315928725,NCT01525615,OG001,Outcome,Tio+Olo 2.5 / 5.0 µg,"Oral inhalation of fixed dose combination (FDC) of Tiotropium 2.5 μg and Olodaterol 5 μg (Tiotropium: 1.25 μg per actuation and Olodaterol: 2.5 μg per actuation), 2 puffs from the RESPIMAT inhaler, once daily, in the morning.",100789314.0
315928726,NCT01525615,OG002,Outcome,Tio+Olo 5.0 / 5.0 µg,"Oral inhalation of FDC of Tiotropium 5 μg and Olodaterol 5 μg (Tiotropium and Olodaterol: 2.5 μg per actuation), 2 puffs from the RESPIMAT inhaler, once daily, in the morning.",100789314.0
317109283,NCT05643170,OG000,Outcome,KarXT,"Participants started on a lead-in dose of KarXT 50/20 mg (xanomeline 50 mg/trospium chloride 20 mg), twice daily (BID) Day 1 to Day 7. Followed by the following titration schedule:

* Week 1 (Days 1 to 7) - KarXT 50/20 mg, BID.
* Week 2 (Days 8 to 14) - KarXT 100/20 mg (xanomeline 100 mg/trospium chloride 20 mg), BID or remain on 50/20 mg, BID.
* Week 3 (Days 15 to 21) - KarXT 125/30 mg (xanomeline 125 mg/trospium chloride 30 mg), BID or 100/20 mg, BID.
* Weeks 4 to 156 (Days 22 to 1092) - Flexible dosing based on tolerability and clinical response to KarXT 50/20 mg, KarXT 100/20 mg, and KarXT 125/30 mg, BID.",101145088.0
317109284,NCT05643170,OG000,Outcome,KarXT,"Participants started on a lead-in dose of KarXT 50/20 mg (xanomeline 50 mg/trospium chloride 20 mg), twice daily (BID) Day 1 to Day 7. Followed by the following titration schedule:

* Week 1 (Days 1 to 7) - KarXT 50/20 mg, BID.
* Week 2 (Days 8 to 14) - KarXT 100/20 mg (xanomeline 100 mg/trospium chloride 20 mg), BID or remain on 50/20 mg, BID.
* Week 3 (Days 15 to 21) - KarXT 125/30 mg (xanomeline 125 mg/trospium chloride 30 mg), BID or 100/20 mg, BID.
* Weeks 4 to 156 (Days 22 to 1092) - Flexible dosing based on tolerability and clinical response to KarXT 50/20 mg, KarXT 100/20 mg, and KarXT 125/30 mg, BID.",101145089.0
315928727,NCT01525615,OG000,Outcome,Placebo,"once daily 2 puffs, solution for inhalation Respimat

placebo to tiotropium+olodaterol: comparator",100789315.0
315928728,NCT01525615,OG001,Outcome,Tio+Olo 2.5 / 5.0 µg,"Oral inhalation of fixed dose combination (FDC) of Tiotropium 2.5 μg and Olodaterol 5 μg (Tiotropium: 1.25 μg per actuation and Olodaterol: 2.5 μg per actuation), 2 puffs from the RESPIMAT inhaler, once daily, in the morning.",100789315.0
315928729,NCT01525615,OG002,Outcome,Tio+Olo 5.0 / 5.0 µg,"Oral inhalation of FDC of Tiotropium 5 μg and Olodaterol 5 μg (Tiotropium and Olodaterol: 2.5 μg per actuation), 2 puffs from the RESPIMAT inhaler, once daily, in the morning.",100789315.0
317109285,NCT05643170,OG000,Outcome,KarXT,"Participants started on a lead-in dose of KarXT 50/20 mg (xanomeline 50 mg/trospium chloride 20 mg), twice daily (BID) Day 1 to Day 7. Followed by the following titration schedule:

* Week 1 (Days 1 to 7) - KarXT 50/20 mg, BID.
* Week 2 (Days 8 to 14) - KarXT 100/20 mg (xanomeline 100 mg/trospium chloride 20 mg), BID or remain on 50/20 mg, BID.
* Week 3 (Days 15 to 21) - KarXT 125/30 mg (xanomeline 125 mg/trospium chloride 30 mg), BID or 100/20 mg, BID.
* Weeks 4 to 156 (Days 22 to 1092) - Flexible dosing based on tolerability and clinical response to KarXT 50/20 mg, KarXT 100/20 mg, and KarXT 125/30 mg, BID.",101145090.0
317109286,NCT00669240,OG000,Outcome,Varenicline,"According to the approved Summary of Product Characteristics (SmPC), participants were required to take 0.5 milligram (mg) orally once daily for the first 3 days and titrate up to 0.5 mg twice daily for days 4-7. From Day 8 to the end of treatment, participants should have taken 1 mg twice daily. Participants who cannot tolerate adverse effects of Champix could have the dose lowered temporarily or permanently to 0.5 mg twice daily. Participants were to be treated for 12 weeks, at which time a maintenance period of 12 weeks could be prescribed. Treatment was to start 1-2 weeks prior to quitting smoking.",101145091.0
315928730,NCT01525615,OG000,Outcome,Placebo,"once daily 2 puffs, solution for inhalation Respimat

placebo to tiotropium+olodaterol: comparator",100789316.0
315928731,NCT01525615,OG001,Outcome,Tio+Olo 2.5 / 5.0 µg,"Oral inhalation of fixed dose combination (FDC) of Tiotropium 2.5 μg and Olodaterol 5 μg (Tiotropium: 1.25 μg per actuation and Olodaterol: 2.5 μg per actuation), 2 puffs from the RESPIMAT inhaler, once daily, in the morning.",100789316.0
315928732,NCT01525615,OG002,Outcome,Tio+Olo 5.0 / 5.0 µg,"Oral inhalation of FDC of Tiotropium 5 μg and Olodaterol 5 μg (Tiotropium and Olodaterol: 2.5 μg per actuation), 2 puffs from the RESPIMAT inhaler, once daily, in the morning.",100789316.0
315928733,NCT01525615,OG000,Outcome,Placebo,"once daily 2 puffs, solution for inhalation Respimat

placebo to tiotropium+olodaterol: comparator",100789317.0
