id,nct_id,agency_class,lead_or_collaborator,name
150445610,NCT01883258,NIH,collaborator,National Institute on Aging (NIA)
150445611,NCT06472362,OTHER,collaborator,Imperial College London
150794751,NCT04854850,UNKNOWN,collaborator,Apollo Neuroscience
150794752,NCT05385315,OTHER,collaborator,Grenoble Institut des Neurosciences
150794753,NCT03080948,OTHER,collaborator,"Princess Alexandra Hospital, Brisbane, Australia"
150445612,NCT06472362,OTHER,collaborator,Royal Free and University College Medical School
150445613,NCT06472362,OTHER,collaborator,The Leeds Teaching Hospitals NHS Trust
150794754,NCT03080948,OTHER_GOV,collaborator,Sheba Medical Center
150794755,NCT03080948,OTHER_GOV,collaborator,Tel-Aviv Sourasky Medical Center
150794756,NCT06199180,INDUSTRY,collaborator,Boston Scientific Corporation
150794757,NCT03829501,INDUSTRY,collaborator,Sanofi
150794758,NCT03625544,INDUSTRY,collaborator,Kuros BioSciences B.V.
150794759,NCT05420233,INDUSTRY,collaborator,AbbVie
150794760,NCT02400944,OTHER,collaborator,"American Cancer Society, Inc."
150794761,NCT04492449,UNKNOWN,collaborator,Maria Aparecida de Andrade Moreira Machado
150794762,NCT04492449,UNKNOWN,collaborator,Thais Marchini de Oliveira Valarelli
150794763,NCT02537210,OTHER,collaborator,"Queen Elizabeth Hospital, Hong Kong"
150794764,NCT02537210,OTHER,collaborator,Alice Ho Miu Ling Nethersole Hospital
150794765,NCT02537210,OTHER,collaborator,"Tseung Kwan O Hospital, Hong Kong"
150794766,NCT02113124,OTHER,collaborator,The Moody Foundation
150794767,NCT01763398,INDUSTRY,collaborator,JW Pharmaceutical
150794768,NCT01802151,UNKNOWN,collaborator,Lallemand Human Nutrition
150794769,NCT05205187,OTHER,collaborator,Liaoning Cancer Hospital & Institute
150794770,NCT05205187,OTHER,collaborator,The Second Hospital of Shandong University
150794771,NCT05205187,UNKNOWN,collaborator,The General Hospital of Fushun Mining Bureau
150794772,NCT05205187,UNKNOWN,collaborator,The fourth People's Hospital of Changzhou
150794773,NCT05205187,OTHER,collaborator,The First People's Hospital of Jingzhou
150794774,NCT02885844,UNKNOWN,collaborator,International Space University
150794775,NCT04963790,OTHER_GOV,collaborator,Public Health Agency of Canada (PHAC)
150794776,NCT04963790,UNKNOWN,collaborator,Eastern Ontario Health Unit
150794777,NCT00003397,OTHER,collaborator,University of Maryland Greenebaum Cancer Center
150445614,NCT06472362,OTHER,collaborator,Hannover Medical School
150794778,NCT01425905,NIH,collaborator,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)
150794779,NCT01425905,NIH,collaborator,National Institutes of Health Clinical Center (CC)
150794780,NCT03745742,UNKNOWN,collaborator,Clinique cardio-pneumologique de Durtol
150794781,NCT03745742,OTHER,collaborator,Almerys
150794782,NCT05008523,FED,collaborator,Centers for Disease Control and Prevention
150794783,NCT05193903,OTHER,collaborator,Ludwig-Maximilians - University of Munich
150794784,NCT05193903,OTHER,collaborator,Universitätsklinikum Hamburg-Eppendorf
150794785,NCT05193903,OTHER,collaborator,University Medical Center Mainz
150794786,NCT05193903,OTHER,collaborator,Max Planck Institute for Human Development
150794787,NCT05193903,OTHER_GOV,collaborator,Federal Joint Committee
150794788,NCT04263168,OTHER,collaborator,Weizmann Institute of Science
150794789,NCT04855162,OTHER,collaborator,Hospital Civil de Guadalajara
150794790,NCT00201903,NETWORK,collaborator,Ontario Cancer Research Network
150794791,NCT01478997,UNKNOWN,collaborator,VitalgNetics
150794792,NCT03189277,OTHER,collaborator,Peking University Cancer Hospital & Institute
150794793,NCT03189277,OTHER,collaborator,Chinese PLA General Hospital
150794794,NCT03189277,OTHER,collaborator,Beijing Chest Hospital
150794795,NCT03189277,OTHER,collaborator,307 Hospital of PLA
150794796,NCT03189277,OTHER,collaborator,Peking Union Medical College Hospital
150794797,NCT03189277,OTHER,collaborator,Beijing Chao Yang Hospital
150794798,NCT03189277,OTHER,collaborator,Peking University Third Hospital
150794799,NCT03189277,OTHER,collaborator,Peking University First Hospital
150794800,NCT03189277,UNKNOWN,collaborator,The Hospital of Shunyi District Beijing
150794801,NCT03189277,UNKNOWN,collaborator,Daxing Hospital Beijing
150794802,NCT03189277,UNKNOWN,collaborator,Peking University Third Hospital Yanqing Hospital
150794803,NCT03189277,OTHER,collaborator,Tianjin Medical University Cancer Institute and Hospital
150794804,NCT03189277,OTHER,collaborator,Tianjin Medical University General Hospital
150794805,NCT03189277,OTHER,collaborator,Hebei Medical University Fourth Hospital
150794806,NCT03189277,OTHER_GOV,collaborator,Henan Cancer Hospital
150794807,NCT03189277,OTHER,collaborator,Shanxi Province Cancer Hospital
150445615,NCT06472362,OTHER,collaborator,University of Siena
150445616,NCT06472362,OTHER,collaborator,Università Politecnica delle Marche
150445617,NCT06472362,OTHER,collaborator,Azienda Ospedaliero Universitaria di Sassari
150445618,NCT06472362,OTHER,collaborator,Bichat Hospital
150445619,NCT01972217,INDUSTRY,collaborator,Merck Sharp & Dohme LLC
150445620,NCT01766934,INDUSTRY,collaborator,Hexal AG
150445621,NCT00648609,OTHER,collaborator,Medica Sur Clinic & Foundation
150445622,NCT04395976,UNKNOWN,collaborator,All Party Parliamentary Group - Indian Traditional Sciences
150445623,NCT04395976,OTHER,collaborator,University of Warwick
150445624,NCT05304039,OTHER,collaborator,Erasmus Medical Center
150445625,NCT05304039,OTHER,collaborator,TNO
150445626,NCT03902431,NETWORK,collaborator,Clinical Directors Network
151142705,NCT02000882,INDUSTRY,collaborator,Novartis Pharmaceuticals
150794808,NCT03189277,OTHER,collaborator,Inner Mongolia People's Hospital
150794809,NCT03189277,OTHER,collaborator,The First Affiliated Hospital of Zhengzhou University
151142706,NCT02227368,UNKNOWN,collaborator,CPC Clinical Research
150445627,NCT03902431,OTHER,collaborator,University of Texas
150445628,NCT03902431,NIH,collaborator,"National Heart, Lung, and Blood Institute (NHLBI)"
150445629,NCT03669536,UNKNOWN,collaborator,Hana Old Age Home
150794810,NCT03189277,OTHER,collaborator,309th Hospital of Chinese People's Liberation Army
150445630,NCT05600634,OTHER,collaborator,Zhejiang University
150445631,NCT05600634,OTHER,collaborator,Sir Run Run Shaw Hospital
150445632,NCT05600634,OTHER,collaborator,The First Affiliated Hospital of Air Force Medicial University
150445633,NCT00809185,NIH,collaborator,National Cancer Institute (NCI)
150794811,NCT01226862,OTHER,collaborator,University of Southern California
150794812,NCT01226862,OTHER,collaborator,Mayo Clinic
150794813,NCT01226862,OTHER,collaborator,Swedish Medical Center
150794814,NCT01226862,OTHER,collaborator,University of Utah
150794815,NCT01226862,OTHER,collaborator,California Pacific Medical Center
150794816,NCT00378664,OTHER,collaborator,William Beaumont Hospitals
150794817,NCT03955562,OTHER,collaborator,Yale University
150794818,NCT03955562,OTHER,collaborator,University of Notre Dame
150794819,NCT03955562,OTHER,collaborator,"University of Colorado, Denver"
150794820,NCT03561662,OTHER,collaborator,Alpro Foundation
150794821,NCT00146731,OTHER_GOV,collaborator,"National Institute for Medical Research, Tanzania"
150794822,NCT00005489,NIH,collaborator,"National Heart, Lung, and Blood Institute (NHLBI)"
150794823,NCT03950752,OTHER,collaborator,Fundació Eurecat
150794824,NCT03950752,UNKNOWN,collaborator,Europastry S.A.
150794825,NCT03950752,OTHER,collaborator,Hospital Universitari Sant Joan de Reus
150794826,NCT05003518,UNKNOWN,collaborator,IDEMS International
150794827,NCT05003518,UNKNOWN,collaborator,UNICEF South Africa
150794828,NCT05003518,UNKNOWN,collaborator,UNICEF Malaysia
150794829,NCT05003518,UNKNOWN,collaborator,UNICEF Sri Lanka
150794830,NCT05003518,UNKNOWN,collaborator,UNICEF Jamaica
150794831,NCT05003518,UNKNOWN,collaborator,UNICEF Philippines
150445634,NCT05049252,OTHER,collaborator,University of Southern Denmark
150445635,NCT05049252,UNKNOWN,collaborator,DDL Diagnostic Laboratory
150445636,NCT05049252,OTHER,collaborator,University of Cambridge
150445637,NCT05049252,NIH,collaborator,National Cancer Institute (NCI)
150445638,NCT05049252,OTHER,collaborator,University of Virginia
150445639,NCT02581813,OTHER,collaborator,Dairy Farmers of Canada
150445640,NCT02451722,UNKNOWN,collaborator,Kybun AG
150445641,NCT03304626,OTHER,collaborator,American College of Gastroenterology
150445642,NCT00027534,NIH,collaborator,National Cancer Institute (NCI)
150445643,NCT04228523,OTHER,collaborator,France Parkinson Association
150445644,NCT05203614,NIH,collaborator,National Institutes of Health (NIH)
150445645,NCT01148368,OTHER,collaborator,Seoul National University Hospital
150445646,NCT00894816,OTHER,collaborator,Karolinska Institutet
150445647,NCT00894816,OTHER,collaborator,University of Helsinki
150445648,NCT00894816,OTHER_GOV,collaborator,"The Swedish Research Council for Environment, Agricultural Sciences and Spatial Planning (FORMAS)"
150445649,NCT00894816,OTHER_GOV,collaborator,Medical Research Council
150445650,NCT00894816,OTHER,collaborator,Ekhagastiftelsen
150445651,NCT00894816,UNKNOWN,collaborator,The county of Västerbotten
150445652,NCT00894816,OTHER,collaborator,Oskar Foundation
150445653,NCT01334177,NIH,collaborator,National Cancer Institute (NCI)
150445654,NCT01074502,INDUSTRY,collaborator,Celgene
150445655,NCT05889728,INDUSTRY,collaborator,Novartis
150445656,NCT04907396,OTHER,collaborator,University of Alabama at Birmingham
150445657,NCT04907396,OTHER,collaborator,"University of Colorado, Denver"
150445658,NCT04907396,OTHER,collaborator,University of Kansas Medical Center
