nct_id,nlm_download_date_description,study_first_submitted_date,results_first_submitted_date,disposition_first_submitted_date,last_update_submitted_date,study_first_submitted_qc_date,study_first_posted_date,study_first_posted_date_type,results_first_submitted_qc_date,results_first_posted_date,results_first_posted_date_type,disposition_first_submitted_qc_date,disposition_first_posted_date,disposition_first_posted_date_type,last_update_submitted_qc_date,last_update_posted_date,last_update_posted_date_type,start_month_year,start_date_type,start_date,verification_month_year,verification_date,completion_month_year,completion_date_type,completion_date,primary_completion_month_year,primary_completion_date_type,primary_completion_date,target_duration,study_type,acronym,baseline_population,brief_title,official_title,overall_status,last_known_status,phase,enrollment,enrollment_type,source,limitations_and_caveats,number_of_arms,number_of_groups,why_stopped,has_expanded_access,expanded_access_type_individual,expanded_access_type_intermediate,expanded_access_type_treatment,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,is_ppsd,is_us_export,biospec_retention,biospec_description,ipd_time_frame,ipd_access_criteria,ipd_url,plan_to_share_ipd,plan_to_share_ipd_description,created_at,updated_at,source_class,delayed_posting,expanded_access_nctid,expanded_access_status_for_nctid,fdaaa801_violation,baseline_type_units_analyzed,patient_registry
NCT04789694,,2021-02-01,,,2023-08-29,2021-03-08,2021-03-09,ACTUAL,,,,,,,2023-08-29,2023-08-31,ACTUAL,2021-01-25,ACTUAL,2021-01-25,2023-08,2023-08-31,2026-06-30,ESTIMATED,2026-06-30,2025-06-30,ESTIMATED,2025-06-30,,INTERVENTIONAL,PHOCUS,,Prehabilitation in Gynaecological Cancer Patients,Prehabilitation in Patients With Gynaecological Cancer Planned for Postponed Surgical Management: A Prospective Randomised Trial.,RECRUITING,,PHASE3,64.0,ESTIMATED,"Charles University, Czech Republic",,2.0,,,False,,,,True,False,False,,,,,,,,,,,2025-06-24 22:04:59.160261,2025-06-24 22:04:59.160261,OTHER,,,,,,
NCT05586178,,2022-10-17,,,2024-12-04,2022-10-17,2022-10-19,ACTUAL,,,,,,,2024-12-04,2024-12-05,ACTUAL,2022-10-18,ACTUAL,2022-10-18,2024-12,2024-12-31,2023-12-31,ACTUAL,2023-12-31,2022-12-31,ACTUAL,2022-12-31,,INTERVENTIONAL,,,Information Provision and Consistency Framing to Increase COVID-19 Booster Uptake,Information Provision and Consistency Framing to Increase COVID-19 Booster Uptake,COMPLETED,,NA,177720.0,ACTUAL,"University of California, Los Angeles",,7.0,,,False,,,,False,False,False,,,,,,,,,NO,,2025-06-25 12:16:26.243304,2025-06-25 12:16:26.243304,OTHER,,,,,,
NCT02271906,,2014-10-17,2018-11-29,,2019-04-08,2014-10-20,2014-10-22,ESTIMATED,2019-04-08,2019-04-30,ACTUAL,,,,2019-04-08,2019-04-30,ACTUAL,2015-07-01,ACTUAL,2015-07-01,2019-04,2019-04-30,2017-08-16,ACTUAL,2017-08-16,2017-08-16,ACTUAL,2017-08-16,,INTERVENTIONAL,,,The ATTAIN Study: A Therapeutic Trial of Afatinib In the Neoadjuvant Setting,The ATTAIN Study: A Therapeutic Trial of Afatinib In the Neoadjuvant Setting,TERMINATED,,PHASE2,2.0,ACTUAL,M.D. Anderson Cancer Center,,1.0,,Poor Accrual,False,,,,False,True,False,,,,,,,,,,,2025-06-25 12:16:26.243304,2025-06-25 12:16:26.243304,OTHER,,,,,,
NCT03072810,,2017-02-20,,,2018-12-06,2017-03-02,2017-03-07,ACTUAL,,,,,,,2018-12-06,2018-12-07,ACTUAL,2017-03-01,ACTUAL,2017-03-01,2018-12,2018-12-31,2018-11-01,ACTUAL,2018-11-01,2018-11-01,ACTUAL,2018-11-01,,INTERVENTIONAL,,,Positive Mindfulness Program and Wellbeing in Chronic Pain,Does the Positive Mindfulness Program Increase Wellbeing in People With Chronic Pain?,COMPLETED,,NA,73.0,ACTUAL,Canterbury Christ Church University,,2.0,,,False,,,,False,False,False,,,,,,,,,NO,,2025-06-25 12:16:26.243304,2025-06-25 12:16:26.243304,OTHER,,,,,,
NCT00749827,,2008-09-05,,,2016-04-19,2008-09-08,2008-09-09,ESTIMATED,,,,,,,2016-04-19,2016-04-20,ESTIMATED,,,,2016-04,2016-04-30,,,,,,,,INTERVENTIONAL,CIN,,Renoprotective Effects of Fluid Prophylaxis Strategies for Contrast Induced Nephropathy (CIN),Exploring the Renoprotective Effects of Fluid Prophylaxis Strategies for Contrast Induced Nephropathy,WITHDRAWN,,PHASE4,0.0,ACTUAL,Memorial University of Newfoundland,,2.0,,No funding received,False,,,,False,,,,,,,,,,,UNDECIDED,,2025-06-25 12:16:26.243304,2025-06-25 12:16:26.243304,OTHER,,,,,,
NCT05450757,,2022-07-02,,,2022-07-06,2022-07-06,2022-07-11,ACTUAL,,,,,,,2022-07-06,2022-07-11,ACTUAL,2018-09-12,ACTUAL,2018-09-12,2022-07,2022-07-31,2024-09-17,ESTIMATED,2024-09-17,2023-09-17,ESTIMATED,2023-09-17,5 Years,OBSERVATIONAL,,,Shanghai ST-segment Elevation Myocardial Infarction Cohort,A Prospective Multicentre Cohort Study of Acute ST-segment Elevation Myocardial Infarction,UNKNOWN,RECRUITING,,2000.0,ESTIMATED,Ruijin Hospital,,,,,False,,,,True,False,False,,,,SAMPLES_WITHOUT_DNA,"Blood samples at the time of pre-PCI, post-PCI, post-PCI 1 day, post-PCI 3days",,,,,,2025-06-25 12:16:26.243304,2025-06-25 12:16:26.243304,OTHER,,,,,,True
NCT01698567,,2012-09-04,,,2016-03-21,2012-09-28,2012-10-03,ESTIMATED,,,,,,,2016-03-21,2016-03-22,ESTIMATED,2012-07,,2012-07-31,2016-03,2016-03-31,2016-03,ACTUAL,2016-03-31,2016-03,ACTUAL,2016-03-31,,INTERVENTIONAL,,,Antithrombin III in Infants With Cardiopulmonary Bypass (CPB),Antithrombin III Supplementation for Infants Undergoing Cardiac Surgery With Cardiopulmonary Bypass.,TERMINATED,,PHASE1,6.0,ACTUAL,University of Rochester,,2.0,,Challenges enrolling subjects in study,False,,,,True,,,,,,,,,,,,,2025-06-25 12:16:26.243304,2025-06-25 12:16:26.243304,OTHER,,,,,,
NCT04737993,,2020-12-16,,,2021-01-30,2021-01-30,2021-02-04,ACTUAL,,,,,,,2021-01-30,2021-02-04,ACTUAL,2020-12-01,ACTUAL,2020-12-01,2021-01,2021-01-31,2022-12-01,ESTIMATED,2022-12-01,2021-12-01,ESTIMATED,2021-12-01,,INTERVENTIONAL,,,Pulsed Radiofrequency of Suprascapular Nerve and Shoulder Joint for Chronic Shoulder Pain,Pulsed Radiofrequency of Suprascapular Nerve and Shoulder Joint for Chronic Shoulder Pain: A Randomized Blind Active -Controlled Study,UNKNOWN,RECRUITING,NA,150.0,ESTIMATED,Satasairaala,,3.0,,,False,,,,False,False,False,,,,,,,,,,,2025-06-25 12:16:26.243304,2025-06-25 12:16:26.243304,OTHER,,,,,,
NCT04845542,,2021-04-12,,,2024-12-03,2021-04-13,2021-04-15,ACTUAL,,,,,,,2024-12-03,2024-12-06,ACTUAL,2022-07-20,ACTUAL,2022-07-20,2024-12,2024-12-31,2027-08-31,ESTIMATED,2027-08-31,2026-08-31,ESTIMATED,2026-08-31,,INTERVENTIONAL,ReStoreD,,Promoting Resilience in Stroke Survivor-carepartner Dyads (ReStoreD),Testing Efficacy of an Intervention to Promote Resilience in Stroke Survivor-carepartner Dyads (ReStoreD),RECRUITING,,NA,400.0,ESTIMATED,University of Utah,,2.0,,,False,,,,False,False,False,,,False,,,,,,NO,,2025-06-25 12:16:26.243304,2025-06-25 12:16:26.243304,OTHER,,,,,,
NCT05148949,,2021-12-03,,,2022-08-12,2021-12-03,2021-12-08,ACTUAL,,,,,,,2022-08-12,2022-08-16,ACTUAL,2021-12-22,ACTUAL,2021-12-22,2021-12,2021-12-31,2023-03-10,ESTIMATED,2023-03-10,2022-12-10,ESTIMATED,2022-12-10,,INTERVENTIONAL,,,Study on Three Doses of an Inactivated COVID-19 Vaccine in Chinese Pulmonary Tuberculosis Patients,"Safety and Immunogenicity of Three Doses of an Inactivated SARS-CoV-2 Vaccine in Chinese Pulmonary Tuberculosis Patients Aged 18-75 Years: a Randomized, Double-blind, Parallel-controlled Clinical Trial",UNKNOWN,RECRUITING,PHASE4,240.0,ESTIMATED,Jiangsu Province Centers for Disease Control and Prevention,,3.0,,,False,,,,True,False,False,,,,,,,,,,,2025-06-25 12:16:26.243304,2025-06-25 12:16:26.243304,NETWORK,,,,,,
